avaliacao_id,colaborador_id,periodo,nota_tecnica,nota_comportamental,nota_gestor,media_geral,resultado
AVL-00091,VLT-0024,2025-Q2,10,7.3,9.1,8.8,Exceeds Expectations
AVL-00092,VLT-0024,2025-Q1,7.8,8.7,10,8.83,Meets Expectations
AVL-00093,VLT-0024,2024-Q2,8.3,7.7,,7.43,Meets Expectations
AVL-00094,VLT-0024,2024-Q3,6.9,7.4,6.4,6.9,Meets Expectations
AVL-00095,VLT-0024,2024-Q4,7.3,7.5,10,8.27,Exceeds Expectations
AVL-00101,VLT-0027,2025-Q1,10,5.9,7.1,7.67,Meets Expectations
AVL-00102,VLT-0027,2024-Q3,5.1,6.7,8.5,6.77,Exceeds Expectations
AVL-00119,VLT-0031,2024-Q1,6.5,7.0,9.1,7.53,Exceeds Expectations
AVL-00120,VLT-0031,2024-Q2,7.9,7.5,6.5,7.3,Meets Expectations
AVL-00121,VLT-0031,2025-Q1,4.3,7.2,7.5,6.33,Exceeds Expectations
AVL-00122,VLT-0032,2024-Q4,7.0,6.7,7.3,7.0,Meets Expectations
AVL-00123,VLT-0032,2025-Q1,7.8,9.3,5.7,7.6,Exceptional
AVL-00124,VLT-0032,2025-Q2,7.9,7.4,5.9,7.07,Below Expectations
AVL-00125,VLT-0033,2024-Q2,7.4,5.2,9.7,7.43,Below Expectations
AVL-00126,VLT-0033,2025-Q2,7.5,7.0,8.2,7.57,Exceeds Expectations
AVL-00127,VLT-0033,2024-Q1,7.4,10,6.1,7.83,Meets Expectations
AVL-00128,VLT-0033,2025-Q1,9.2,8.2,4.6,7.33,Exceptional
AVL-00129,VLT-0033,2024-Q3,8.3,9.2,9.2,8.9,Meets Expectations
AVL-00130,VLT-0033,2024-Q4,5.2,8.0,,7.1,Meets Expectations
AVL-00138,VLT-0036,2024-Q4,6.7,7.0,6.8,6.83,Meets Expectations
AVL-00139,VLT-0036,2024-Q1,5.8,8.9,4.6,6.43,Meets Expectations
AVL-00140,VLT-0036,2025-Q1,9.1,5.7,8.8,7.87,Meets Expectations
AVL-00141,VLT-0036,2024-Q3,9.2,6.7,7.2,7.7,Meets Expectations
AVL-00147,VLT-0038,2024-Q3,7.6,6.2,6.7,6.83,Exceeds Expectations
AVL-00148,VLT-0038,2025-Q2,7.7,7.1,3.8,6.2,Exceeds Expectations
AVL-00149,VLT-0038,2024-Q2,6.8,9.0,,7.2,Meets Expectations
AVL-00150,VLT-0038,2024-Q4,9.8,7.1,7.8,8.23,Meets Expectations
AVL-00151,VLT-0039,2024-Q1,10,6.2,6.5,7.57,Meets Expectations
AVL-00152,VLT-0039,2024-Q2,9.5,7.5,8.0,8.33,Meets Expectations
AVL-00153,VLT-0040,2024-Q3,8.5,7.4,9.8,8.57,Meets Expectations
AVL-00154,VLT-0040,2024-Q2,7.5,7.1,3.6,6.07,Exceptional
AVL-00155,VLT-0040,2025-Q1,8.1,8.5,7.9,8.17,Meets Expectations
AVL-00156,VLT-0040,2024-Q4,9.0,7.9,9.0,8.63,Exceptional
AVL-00157,VLT-0040,2025-Q2,8.1,8.0,10,8.7,Exceptional
AVL-00158,VLT-0041,2025-Q2,7.6,6.5,6.4,6.83,Exceeds Expectations
AVL-00159,VLT-0041,2024-Q3,6.0,7.6,3.2,5.6,Below Expectations
AVL-00160,VLT-0041,2024-Q4,10,5.6,8.0,7.87,Exceeds Expectations
AVL-00161,VLT-0041,2025-Q1,7.3,8.9,7.5,7.9,Exceeds Expectations
AVL-00162,VLT-0041,2024-Q2,8.4,7.7,8.8,8.3,Meets Expectations
AVL-00166,VLT-0043,2024-Q2,6.1,7.0,6.8,6.63,Exceeds Expectations
AVL-00167,VLT-0043,2025-Q2,8.3,6.6,8.4,7.77,Exceptional
AVL-00168,VLT-0043,2024-Q4,9.1,7.7,5.3,7.37,Meets Expectations
AVL-00169,VLT-0043,2025-Q1,7.2,5.7,7.9,6.93,Meets Expectations
AVL-00170,VLT-0043,2024-Q1,8.5,7.1,10,8.53,Exceeds Expectations
AVL-00171,VLT-0044,2025-Q1,6.8,5.5,9.9,7.4,Meets Expectations
AVL-00172,VLT-0044,2024-Q4,6.2,8.1,9.0,7.77,Meets Expectations
AVL-00173,VLT-0044,2024-Q3,7.8,5.4,7.4,6.87,Exceeds Expectations
AVL-00174,VLT-0044,2024-Q2,10,7.4,8.0,8.47,Exceptional
AVL-00175,VLT-0045,2025-Q2,4.2,6.7,6.1,5.67,Exceeds Expectations
AVL-00176,VLT-0045,2024-Q4,10,8.4,8.7,9.03,Meets Expectations
AVL-00177,VLT-0045,2025-Q1,5.7,9.2,9.7,8.2,Exceptional
AVL-00178,VLT-0045,2024-Q3,6.5,8.5,8.7,7.9,Meets Expectations
AVL-00182,VLT-0047,2024-Q4,6.4,8.8,7.2,7.47,Exceptional
AVL-00183,VLT-0047,2025-Q1,8.5,8.6,9.0,8.7,Exceptional
AVL-00184,VLT-0047,2024-Q2,7.1,10,7.3,8.13,Below Expectations
AVL-00185,VLT-0047,2024-Q3,7.7,7.9,9.1,8.23,Meets Expectations
AVL-00186,VLT-0048,2025-Q1,8.0,7.6,8.1,7.9,Below Expectations
AVL-00187,VLT-0048,2024-Q4,10,7.3,9.2,8.83,Meets Expectations
AVL-00188,VLT-0048,2024-Q3,8.4,8.6,8.1,8.37,Exceeds Expectations
AVL-00189,VLT-0048,2024-Q1,6.5,4.0,10,6.83,Meets Expectations
AVL-00190,VLT-0049,2024-Q2,8.2,8.6,8.1,8.3,Below Expectations
AVL-00191,VLT-0049,2024-Q4,6.7,8.1,9.3,8.03,Meets Expectations
AVL-00192,VLT-0050,2024-Q3,8.4,7.1,7.8,7.77,Exceeds Expectations
AVL-00193,VLT-0050,2024-Q1,10,6.8,8.1,8.3,Exceptional
AVL-00194,VLT-0051,2025-Q2,5.6,6.4,4.7,5.57,Meets Expectations
AVL-00195,VLT-0051,2024-Q1,6.5,7.8,2.1,5.47,Meets Expectations
AVL-00196,VLT-0051,2024-Q3,7.3,7.6,8.4,7.77,Exceeds Expectations
AVL-00197,VLT-0051,2024-Q4,7.0,8.5,10,8.5,Exceeds Expectations
AVL-00198,VLT-0051,2025-Q1,4.5,5.2,7.6,5.77,Exceeds Expectations
AVL-00199,VLT-0051,2024-Q2,6.8,7.8,7.9,7.5,Exceeds Expectations
AVL-00200,VLT-0052,2024-Q2,6.8,7.8,10,8.2,Exceeds Expectations
AVL-00201,VLT-0052,2024-Q4,5.6,9.2,,7.23,Meets Expectations
AVL-00202,VLT-0052,2025-Q2,9.7,7.7,4.8,7.4,Meets Expectations
AVL-00203,VLT-0052,2024-Q3,6.8,6.7,,7.27,Meets Expectations
AVL-00204,VLT-0053,2024-Q4,8.9,8.4,10,9.1,Meets Expectations
AVL-00205,VLT-0053,2024-Q3,9.2,7.9,7.3,8.13,Exceptional
AVL-00206,VLT-0053,2025-Q2,7.6,6.7,7.8,7.37,Exceeds Expectations
AVL-00207,VLT-0053,2024-Q2,7.1,8.3,6.6,7.33,Exceeds Expectations
AVL-00208,VLT-0054,2024-Q4,6.9,6.0,4.7,5.87,Meets Expectations
AVL-00209,VLT-0054,2024-Q3,6.9,7.0,8.8,7.57,Exceptional
AVL-00210,VLT-0055,2024-Q2,5.2,6.7,4.3,5.4,Exceeds Expectations
AVL-00211,VLT-0055,2024-Q3,9.5,8.3,9.6,9.13,Exceeds Expectations
AVL-00212,VLT-0056,2025-Q1,8.6,7.8,10,8.8,Exceeds Expectations
AVL-00213,VLT-0056,2024-Q3,6.4,7.2,7.9,7.17,Exceeds Expectations
AVL-00214,VLT-0056,2025-Q2,7.4,10,7.0,8.13,Meets Expectations
AVL-00215,VLT-0056,2024-Q2,5.6,8.3,6.1,6.67,Meets Expectations
AVL-00216,VLT-0056,2024-Q4,5.8,6.7,10,7.5,Meets Expectations
AVL-00217,VLT-0056,2024-Q1,8.7,9.4,5.8,7.97,Exceeds Expectations
AVL-00218,VLT-0057,2024-Q1,10,10,10,10.0,Exceeds Expectations
AVL-00219,VLT-0057,2024-Q2,6.8,7.6,9.8,8.07,Meets Expectations
AVL-00220,VLT-0057,2025-Q2,6.7,8.5,8.9,8.03,Exceptional
AVL-00221,VLT-0057,2025-Q1,6.1,4.7,7.2,6.0,Below Expectations
AVL-00222,VLT-0057,2024-Q3,8.0,8.1,6.3,7.47,Meets Expectations
AVL-00223,VLT-0057,2024-Q4,9.0,7.8,3.4,6.73,Meets Expectations
AVL-00234,VLT-0060,2024-Q4,6.3,7.7,7.6,7.2,Exceeds Expectations
AVL-00235,VLT-0060,2025-Q2,10,7.5,7.0,8.17,Meets Expectations
AVL-00236,VLT-0060,2025-Q1,5.9,6.8,8.4,7.03,Exceptional
AVL-00237,VLT-0060,2024-Q1,6.9,5.6,8.3,6.93,Exceeds Expectations
AVL-00238,VLT-0060,2024-Q2,8.3,10,4.9,7.73,Exceeds Expectations
AVL-00239,VLT-0061,2024-Q1,8.1,8.5,7.6,8.07,Below Expectations
AVL-00240,VLT-0061,2024-Q3,5.4,8.1,10,7.83,Meets Expectations
AVL-00241,VLT-0061,2024-Q4,9.1,7.7,4.3,7.03,Meets Expectations
AVL-00242,VLT-0061,2025-Q1,6.8,7.2,10,8.0,Exceeds Expectations
AVL-00258,VLT-0065,2024-Q2,5.6,9.7,9.4,8.23,Exceeds Expectations
AVL-00259,VLT-0065,2025-Q1,5.0,7.1,10,7.37,Exceeds Expectations
AVL-00260,VLT-0065,2024-Q3,7.9,7.9,10,8.6,Meets Expectations
AVL-00261,VLT-0065,2024-Q1,6.9,9.5,7.6,8.0,Exceeds Expectations
AVL-00262,VLT-0065,2025-Q2,9.3,7.7,6.0,7.67,Below Expectations
AVL-00263,VLT-0065,2024-Q4,8.6,7.3,8.6,8.17,Exceptional
AVL-00269,VLT-0067,2024-Q2,9.3,8.1,6.2,7.87,Exceptional
AVL-00270,VLT-0067,2025-Q2,7.5,3.7,,5.73,Meets Expectations
AVL-00271,VLT-0067,2024-Q3,6.6,7.3,8.5,7.47,Exceptional
AVL-00272,VLT-0068,2024-Q2,10,10,10,10.0,Exceeds Expectations
AVL-00273,VLT-0068,2024-Q3,10,10,8.2,9.4,Exceptional
AVL-00274,VLT-0068,2025-Q1,7.1,9.2,,7.9,Meets Expectations
AVL-00275,VLT-0068,2024-Q4,6.5,7.4,8.5,7.47,Exceptional
AVL-00276,VLT-0069,2025-Q2,6.8,7.7,8.9,7.8,Exceeds Expectations
AVL-00277,VLT-0069,2025-Q1,6.4,10,9.7,8.7,Meets Expectations
AVL-00278,VLT-0069,2024-Q2,7.6,7.5,6.4,7.17,Meets Expectations
AVL-00279,VLT-0069,2024-Q4,8.4,7.0,8.5,7.97,Meets Expectations
AVL-00280,VLT-0069,2024-Q3,8.0,6.4,10,8.13,Exceeds Expectations
AVL-00281,VLT-0070,2024-Q1,5.8,8.2,9.0,7.67,Meets Expectations
AVL-00282,VLT-0070,2024-Q4,6.3,6.2,8.8,7.1,Exceeds Expectations
AVL-00283,VLT-0070,2025-Q2,9.0,6.3,8.8,8.03,Below Expectations
AVL-00284,VLT-0070,2025-Q1,7.6,9.5,7.2,8.1,Exceptional
AVL-00285,VLT-0070,2024-Q2,8.8,7.6,,8.13,Exceptional
AVL-00286,VLT-0071,2024-Q2,8.3,6.7,10,8.33,Meets Expectations
AVL-00287,VLT-0071,2025-Q1,5.8,10,9.7,8.5,Exceeds Expectations
AVL-00288,VLT-0071,2024-Q1,8.7,8.5,9.0,8.73,Exceptional
AVL-00289,VLT-0071,2024-Q4,4.4,7.2,6.9,6.17,Meets Expectations
AVL-00290,VLT-0071,2025-Q2,7.4,7.7,10,8.37,Exceeds Expectations
AVL-00291,VLT-0071,2024-Q3,8.8,7.1,5.5,7.13,Meets Expectations
AVL-00292,VLT-0072,2024-Q4,9.4,6.6,7.8,7.93,Exceeds Expectations
AVL-00293,VLT-0072,2024-Q3,5.0,7.3,7.3,6.53,Meets Expectations
AVL-00294,VLT-0072,2024-Q1,5.7,8.3,5.4,6.47,Exceeds Expectations
AVL-00295,VLT-0072,2024-Q2,7.7,6.2,7.2,7.03,Exceeds Expectations
AVL-00296,VLT-0073,2024-Q2,8.2,7.4,6.1,7.23,Exceeds Expectations
AVL-00297,VLT-0073,2025-Q2,7.1,10,10,9.03,Meets Expectations
AVL-00298,VLT-0073,2025-Q1,4.4,9.1,8.3,7.27,Meets Expectations
AVL-00299,VLT-0074,2025-Q2,6.5,6.5,10,7.67,Meets Expectations
AVL-00300,VLT-0074,2024-Q1,6.5,9.5,8.4,8.13,Exceptional
AVL-00301,VLT-0075,2024-Q3,8.7,9.9,10,9.53,Meets Expectations
AVL-00302,VLT-0075,2025-Q2,7.0,8.6,6.4,7.33,Exceeds Expectations
AVL-00303,VLT-0075,2024-Q4,7.9,6.5,6.6,7.0,Exceptional
AVL-00304,VLT-0075,2025-Q1,5.9,5.5,9.0,6.8,Exceeds Expectations
AVL-00312,VLT-0078,2024-Q2,5.4,7.4,6.0,6.27,Below Expectations
AVL-00313,VLT-0078,2024-Q3,7.7,9.2,7.4,8.1,Exceeds Expectations
AVL-00314,VLT-0078,2025-Q1,9.9,7.0,9.7,8.87,Meets Expectations
AVL-00319,VLT-0080,2025-Q1,6.3,7.9,4.0,6.07,Exceeds Expectations
AVL-00320,VLT-0080,2024-Q2,9.7,7.6,7.7,8.33,Below Expectations
AVL-00321,VLT-0080,2024-Q4,8.6,8.6,8.2,8.47,Meets Expectations
AVL-00322,VLT-0080,2025-Q2,9.3,9.8,6.8,8.63,Meets Expectations
AVL-00323,VLT-0081,2024-Q4,8.1,9.3,4.7,7.37,Meets Expectations
AVL-00324,VLT-0081,2024-Q3,8.8,9.2,8.7,8.9,Meets Expectations
AVL-00325,VLT-0081,2025-Q2,8.4,6.0,6.6,7.0,Below Expectations
AVL-00326,VLT-0081,2024-Q2,7.7,7.4,7.6,7.57,Meets Expectations
AVL-00346,VLT-0086,2024-Q3,7.3,7.5,8.0,7.6,Exceeds Expectations
AVL-00347,VLT-0086,2024-Q2,8.0,8.4,10,8.8,Meets Expectations
AVL-00348,VLT-0086,2024-Q1,7.8,9.9,6.6,8.1,Meets Expectations
AVL-00349,VLT-0086,2025-Q1,6.2,5.7,7.9,6.6,Exceptional
AVL-00350,VLT-0086,2025-Q2,8.5,9.1,6.1,7.9,Exceeds Expectations
AVL-00351,VLT-0087,2024-Q1,8.7,8.6,9.9,9.07,Below Expectations
AVL-00352,VLT-0087,2024-Q4,4.2,9.8,8.0,7.33,Exceptional
AVL-00353,VLT-0087,2025-Q2,6.1,7.8,8.1,7.33,Exceeds Expectations
AVL-00354,VLT-0088,2025-Q2,6.6,8.5,7.1,7.4,Exceptional
AVL-00355,VLT-0088,2024-Q4,9.6,7.5,7.3,8.13,Meets Expectations
AVL-00356,VLT-0088,2025-Q1,8.1,9.0,4.9,7.33,Meets Expectations
AVL-00357,VLT-0088,2024-Q1,5.6,8.7,7.2,7.17,Exceeds Expectations
AVL-00358,VLT-0089,2024-Q4,8.5,7.7,6.0,7.4,Exceeds Expectations
AVL-00359,VLT-0089,2024-Q1,4.4,8.4,7.6,6.8,Exceeds Expectations
AVL-00360,VLT-0089,2024-Q2,9.2,8.9,10,9.37,Meets Expectations
AVL-00361,VLT-0089,2025-Q1,9.9,5.7,5.8,7.13,Meets Expectations
AVL-00362,VLT-0090,2024-Q2,7.3,9.5,4.7,7.17,Exceeds Expectations
AVL-00363,VLT-0090,2024-Q1,9.0,7.6,7.3,7.97,Exceeds Expectations
AVL-00364,VLT-0090,2024-Q4,8.3,5.7,7.1,7.03,Exceeds Expectations
AVL-00365,VLT-0091,2025-Q2,6.3,8.0,5.2,6.5,Meets Expectations
AVL-00366,VLT-0091,2024-Q1,7.1,5.7,9.0,7.27,Exceeds Expectations
AVL-00367,VLT-0091,2024-Q4,7.3,9.3,8.1,8.23,Exceptional
AVL-00368,VLT-0092,2024-Q1,5.9,8.4,9.7,8.0,Exceptional
AVL-00369,VLT-0092,2024-Q3,6.3,7.1,7.8,7.07,Exceptional
AVL-00370,VLT-0092,2024-Q4,9.7,6.0,3.8,6.5,Meets Expectations
AVL-00376,VLT-0094,2024-Q1,6.7,8.7,8.5,7.97,Exceptional
AVL-00377,VLT-0094,2024-Q4,10,7.6,8.5,8.7,Meets Expectations
AVL-00378,VLT-0094,2024-Q2,6.9,7.4,6.2,6.83,Exceeds Expectations
AVL-00379,VLT-0094,2025-Q2,7.2,6.8,6.8,6.93,Exceptional
AVL-00380,VLT-0094,2024-Q3,4.4,6.4,4.1,4.97,Exceeds Expectations
AVL-00381,VLT-0095,2025-Q1,3.4,9.1,8.0,6.83,Meets Expectations
AVL-00382,VLT-0095,2024-Q1,5.9,7.7,7.4,7.0,Exceeds Expectations
AVL-00383,VLT-0095,2024-Q3,6.5,5.0,5.5,5.67,Exceeds Expectations
AVL-00384,VLT-0095,2024-Q4,5.7,7.7,10,7.8,Exceeds Expectations
AVL-00385,VLT-0095,2025-Q2,7.0,6.7,7.2,6.97,Meets Expectations
AVL-00389,VLT-0097,2025-Q1,6.9,5.0,7.3,6.4,Meets Expectations
AVL-00390,VLT-0097,2024-Q2,6.1,5.0,6.2,5.77,Meets Expectations
AVL-00391,VLT-0097,2025-Q2,9.1,10,5.9,8.33,Below Expectations
AVL-00392,VLT-0097,2024-Q4,5.0,7.1,8.4,6.83,Meets Expectations
AVL-00393,VLT-0098,2024-Q3,4.5,5.2,9.2,6.3,Below Expectations
AVL-00394,VLT-0098,2025-Q2,6.5,4.4,10,6.97,Exceeds Expectations
AVL-00395,VLT-0098,2025-Q1,8.9,7.3,8.1,8.1,Exceeds Expectations
AVL-00396,VLT-0098,2024-Q4,7.3,9.8,6.4,7.83,Meets Expectations
AVL-00397,VLT-0098,2024-Q1,7.3,7.6,6.3,7.07,Exceeds Expectations
AVL-00398,VLT-0099,2024-Q2,5.8,9.5,7.0,7.43,Meets Expectations
AVL-00399,VLT-0099,2024-Q1,9.8,8.2,,8.43,Below Expectations
AVL-00400,VLT-0099,2025-Q1,6.6,7.9,9.4,7.97,Below Expectations
AVL-00401,VLT-0099,2024-Q4,8.7,6.6,8.6,7.97,Exceptional
AVL-00402,VLT-0100,2024-Q1,7.9,7.2,,7.53,Exceeds Expectations
AVL-00403,VLT-0100,2024-Q3,7.5,9.5,9.2,8.73,Below Expectations
AVL-00404,VLT-0100,2024-Q4,7.7,7.2,8.4,7.77,Meets Expectations
AVL-00405,VLT-0100,2025-Q1,8.9,8.5,5.0,7.47,Below Expectations
AVL-00417,VLT-0103,2025-Q2,6.6,7.9,7.7,7.4,Below Expectations
AVL-00418,VLT-0103,2024-Q3,8.8,7.3,9.1,8.4,Meets Expectations
AVL-00419,VLT-0103,2024-Q4,5.8,7.9,5.3,6.33,Below Expectations
AVL-00420,VLT-0104,2025-Q1,6.0,7.1,7.0,6.7,Exceeds Expectations
AVL-00421,VLT-0104,2024-Q3,5.3,6.6,5.5,5.8,Meets Expectations
AVL-00422,VLT-0104,2024-Q1,7.2,6.8,6.9,6.97,Meets Expectations
AVL-00423,VLT-0104,2024-Q2,9.5,7.5,8.8,8.6,Exceptional
AVL-00424,VLT-0104,2024-Q4,7.6,10,7.3,8.3,Exceeds Expectations
AVL-00431,VLT-0106,2024-Q3,9.8,10,9.3,9.7,Meets Expectations
AVL-00432,VLT-0106,2024-Q2,7.2,7.7,5.9,6.93,Exceeds Expectations
AVL-00433,VLT-0106,2024-Q4,6.6,9.0,8.5,8.03,Meets Expectations
AVL-00434,VLT-0106,2025-Q1,8.0,7.4,5.8,7.07,Exceptional
AVL-00437,VLT-0108,2024-Q2,10,7.3,7.9,8.4,Exceeds Expectations
AVL-00438,VLT-0108,2024-Q4,8.9,8.8,5.1,7.6,Exceeds Expectations
AVL-00439,VLT-0108,2025-Q2,7.5,8.2,7.4,7.7,Exceeds Expectations
AVL-00440,VLT-0108,2024-Q1,7.4,8.7,9.1,8.4,Meets Expectations
AVL-00441,VLT-0109,2025-Q1,9.1,7.1,5.0,7.07,Exceeds Expectations
AVL-00442,VLT-0109,2024-Q4,6.1,7.5,7.8,7.13,Exceeds Expectations
AVL-00443,VLT-0109,2024-Q2,10,8.2,7.2,8.47,Meets Expectations
AVL-00444,VLT-0110,2024-Q4,8.9,8.1,6.7,7.9,Meets Expectations
AVL-00445,VLT-0110,2024-Q3,8.2,7.5,6.6,7.43,Meets Expectations
AVL-00446,VLT-0110,2025-Q1,9.2,8.4,7.9,8.5,Exceeds Expectations
AVL-00455,VLT-0113,2025-Q2,6.8,4.6,7.1,6.17,Exceeds Expectations
AVL-00456,VLT-0113,2024-Q1,9.0,10,2.6,7.2,Meets Expectations
AVL-00457,VLT-0113,2025-Q1,8.7,9.1,3.8,7.2,Exceeds Expectations
AVL-00458,VLT-0113,2024-Q4,10,8.7,4.5,7.73,Exceeds Expectations
AVL-00459,VLT-0114,2024-Q3,8.3,9.1,5.5,7.63,Exceeds Expectations
AVL-00460,VLT-0114,2024-Q1,8.7,8.8,6.3,7.93,Exceptional
AVL-00461,VLT-0114,2025-Q1,9.3,7.6,,7.3,Below Expectations
AVL-00462,VLT-0115,2025-Q2,6.1,9.1,5.8,7.0,Exceptional
AVL-00463,VLT-0115,2024-Q3,7.8,7.5,8.8,8.03,Exceeds Expectations
AVL-00464,VLT-0115,2025-Q1,9.1,10,9.2,9.43,Exceeds Expectations
AVL-00465,VLT-0115,2024-Q1,7.8,9.8,6.5,8.03,Meets Expectations
AVL-00466,VLT-0115,2024-Q4,6.9,6.8,7.3,7.0,Below Expectations
AVL-00470,VLT-0117,2024-Q3,7.0,8.4,,8.37,Exceeds Expectations
AVL-00471,VLT-0117,2024-Q1,8.4,7.1,6.4,7.3,Exceptional
AVL-00476,VLT-0119,2025-Q1,8.2,7.6,7.7,7.83,Meets Expectations
AVL-00477,VLT-0119,2024-Q2,9.1,7.0,,8.23,Meets Expectations
AVL-00478,VLT-0119,2024-Q4,7.3,9.7,8.5,8.5,Meets Expectations
AVL-00479,VLT-0119,2025-Q2,7.4,7.0,7.2,7.2,Meets Expectations
AVL-00480,VLT-0119,2024-Q1,6.7,7.0,10,7.9,Meets Expectations
AVL-00485,VLT-0121,2024-Q1,8.5,10,8.5,9.0,Exceeds Expectations
AVL-00486,VLT-0121,2024-Q3,7.1,8.6,8.6,8.1,Exceeds Expectations
AVL-00487,VLT-0121,2024-Q2,5.5,8.9,5.8,6.73,Meets Expectations
AVL-00488,VLT-0122,2025-Q2,8.7,6.8,10,8.5,Exceeds Expectations
AVL-00489,VLT-0122,2024-Q3,7.9,8.0,8.0,7.97,Meets Expectations
